DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
crohn's disease (CD),Clostridium leptum,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Clostridium leptum?,negative
crohn's disease (CD),Coriobacteriaceae,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Coriobacteriaceae?,negative
crohn's disease (CD),Escherichia coli,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Escherichia coli?,positive
crohn's disease (CD),Escherichia,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Escherichia?,positive
crohn's disease (CD),Actinomyces,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Actinomyces?,positive
crohn's disease (CD),Veillonella,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Veillonella?,positive
crohn's disease (CD),Clostridium,"The families of Christensenellaceae, Coriobacteriaceae, and, in particular, Clostridium leptum decrease, while Actinomyces spp., Veillonella spp., and also Escherichia coli increase in patients with CD.",What is the relationship between crohn's disease (CD) and Clostridium?,negative
crohn's disease (CD),Intestinibacter,"A comparative study showed that the abundance of Intestinibacter spp. increases in both CD and UC, while the abundance of Coprococcus spp. significantly decreases in CD (Forbes et al, 2018)",What is the relationship between crohn's disease (CD) and Intestinibacter?,positive
crohn's disease (CD),Coprococcus,"A comparative study showed that the abundance of Intestinibacter spp. increases in both CD and UC, while the abundance of Coprococcus spp. significantly decreases in CD (Forbes et al, 2018)",What is the relationship between crohn's disease (CD) and Coprococcus?,negative
ulcerative colitis (UC),Intestinibacter,"A comparative study showed that the abundance of Intestinibacter spp. increases in both CD and UC, while the abundance of Coprococcus spp. significantly decreases in CD (Forbes et al, 2018)",What is the relationship between ulcerative colitis (UC) and Intestinibacter?,positive
ulcerative colitis (UC),Coprococcus,"A comparative study showed that the abundance of Intestinibacter spp. increases in both CD and UC, while the abundance of Coprococcus spp. significantly decreases in CD (Forbes et al, 2018)",What is the relationship between ulcerative colitis (UC) and Coprococcus?,negative
crohn's disease (CD),Atopobium parvulum,"The abundance of Atopobium parvulum, a type of H2S-producing bacteria, is related to the severity of CD patients.",What is the relationship between crohn's disease (CD) and Atopobium parvulum?,positive
crohn's disease (CD),Atopobium,"The abundance of Atopobium parvulum, a type of H2S-producing bacteria, is related to the severity of CD patients.",What is the relationship between crohn's disease (CD) and Atopobium?,positive
ulcerative colitis (UC),Eubacterium,"For patients with UC, there is an enrichment of Eubacterium rectum and Akkermansia muciniphila decreases, while levels of E. coli increase (Pittayanon et al., 2020).",What is the relationship between ulcerative colitis (UC) and Eubacterium?,positive
ulcerative colitis (UC),Akkermansia muciniphila,"For patients with UC, there is an enrichment of Eubacterium rectum and Akkermansia muciniphila decreases, while levels of E. coli increase (Pittayanon et al., 2020).",What is the relationship between ulcerative colitis (UC) and Akkermansia muciniphila?,negative
Inflammatory bowel disease (IBD),Prevotellaceae,"IgA-coated bacteria from IBD patients are shown to invade into the mucus layer and exacerbate dextran sulfate sodium (DSS)-induced colitis in mouse models including Prevotellaceae, Helicobacter, and Segmented filamentous bacteria (SFB) (Kayama et al., 2020).",What is the relationship between Inflammatory bowel disease (IBD) and Prevotellaceae?,positive
Inflammatory bowel disease (IBD),Helicobacter,"IgA-coated bacteria from IBD patients are shown to invade into the mucus layer and exacerbate dextran sulfate sodium (DSS)-induced colitis in mouse models including Prevotellaceae, Helicobacter, and Segmented filamentous bacteria (SFB) (Kayama et al., 2020).",What is the relationship between Inflammatory bowel disease (IBD) and Helicobacter?,positive
Inflammatory bowel disease (IBD),Clostridium difficile,"FMT can be applied for moderate to severe IBD complicated with recurrent or refractory Clostridium difficile infection (Colman and Rubin, 2014; Nishida et al., 2017; Goyal et al., 2018; Saha et al., 2021).",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium difficile?,positive
Inflammatory bowel disease (IBD),Clostridium,"FMT can be applied for moderate to severe IBD complicated with recurrent or refractory Clostridium difficile infection (Colman and Rubin, 2014; Nishida et al., 2017; Goyal et al., 2018; Saha et al., 2021).",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,positive
Inflammatory bowel disease (IBD),Bacteroides,"N-acylethanolamine, an endogenous signal lipid, is a metabolite found in IBD, which is associated with Proteus enrichment and a reduction in Bacteroides levels.",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides?,negative
Inflammatory bowel disease (IBD),Proteus,"N-acylethanolamine, an endogenous signal lipid, is a metabolite found in IBD, which is associated with Proteus enrichment and a reduction in Bacteroides levels.",What is the relationship between Inflammatory bowel disease (IBD) and Proteus?,positive
ulcerative colitis (UC),Bacteroidetes,"It was found that triple antibiotics could cooperate with FMT to alleviate the intestinal ecological imbalance caused by the loss of Bacteroidetes species diversity in UC patients (Ishikawa et al., 2018).",What is the relationship between ulcerative colitis (UC) and Bacteroidetes?,positive
Inflammatory bowel disease (IBD),Roseburia,found that 85 IBD patients receiving vedolizumab responded with high levels of Roseburia inulinivorans and Burkholderiales as the therapeutic effect.,What is the relationship between Inflammatory bowel disease (IBD) and Roseburia?,positive
Inflammatory bowel disease (IBD),Burkholderiales,found that 85 IBD patients receiving vedolizumab responded with high levels of Roseburia inulinivorans and Burkholderiales as the therapeutic effect.,What is the relationship between Inflammatory bowel disease (IBD) and Burkholderiales?,positive
Inflammatory bowel disease (IBD),Enterobacteriaceae,"used the heavy metal tungsten to inhibit the proliferation of Enterobacteriaceae during IBD inflammation development (Zhu et al., 2018).",What is the relationship between Inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
Ileac Inflammation,Veillonella,NLRX1 boosts the dysbiosis to induce the ileac inflammationviaSIRT1 signaling pathway with enrichment of Veillonella and Clostridium. ,What is the relationship between Ileac Inflammation and Veillonella?,positive
Ileac Inflammation,Clostridium,NLRX1 boosts the dysbiosis to induce the ileac inflammationviaSIRT1 signaling pathway with enrichment of Veillonella and Clostridium. ,What is the relationship between Ileac Inflammation and Clostridium?,positive
ileac inflammation,A. parvulum,A. parvulum produce H2S to induce ileac inflammation by mitochondrial damage.,What is the relationship between ileac inflammation and A. parvulum?,positive
Intestinal Inflammation,Klebsiella pneumoniae,Klebsiella pneumoniae invades intestinal epithelial cells and promotes the secretion of IL-1β and TNF by interacting with macrophages.,What is the relationship between Intestinal Inflammation and Klebsiella pneumoniae?,positive
Inflammatory bowel disease (IBD),B. fragilis,"B. fragilis, which is symbiotic with human beings, transmits immune regulatory molecules to immune cells through the secretion of outer membrane vesicles (OMVs). This mechanism of OMVs is closely associated with the expression of the IBD-related genes Atg16L1 and NOD2. OMVs play a protective role in IBD by activating the non-classical autophagy pathway.",What is the relationship between Inflammatory bowel disease (IBD) and B. fragilis?,negative
Inflammatory bowel disease (IBD),B. thetaiotaomicron,B. thetaiotaomicron recapitulate the effects of gut microbiota and induces Tregs to influence the immune system in IBD,What is the relationship between Inflammatory bowel disease (IBD) and B. thetaiotaomicron?,relate
Inflammatory bowel disease (IBD),Bacteroidetes,"The Firmicutes/Bacteroidetes (F/B) ratio is widely considered to maintain intestinal homeostasis, which is widely decreased in IBD patients (Stojanov et al., 2020; Ma et al., 2021).",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,negative
Inflammatory bowel disease (IBD),Firmicutes,"The Firmicutes/Bacteroidetes (F/B) ratio is widely considered to maintain intestinal homeostasis, which is widely decreased in IBD patients (Stojanov et al., 2020; Ma et al., 2021).",What is the relationship between Inflammatory bowel disease (IBD) and Firmicutes?,negative
Inflammatory bowel disease (IBD),Methanosphaera stadtmanae,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014).",What is the relationship between Inflammatory bowel disease (IBD) and Methanosphaera stadtmanae?,relate
Inflammatory bowel disease (IBD),Yersinia,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014).",What is the relationship between Inflammatory bowel disease (IBD) and Yersinia?,relate
Inflammatory bowel disease (IBD),Helicobacter,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014).",What is the relationship between Inflammatory bowel disease (IBD) and Helicobacter?,relate
Inflammatory bowel disease (IBD),Listeria,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014).",What is the relationship between Inflammatory bowel disease (IBD) and Listeria?,relate
Inflammatory bowel disease (IBD),Klebsiella,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014).",What is the relationship between Inflammatory bowel disease (IBD) and Klebsiella?,relate
Inflammatory bowel disease (IBD),Salmonella,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014).",What is the relationship between Inflammatory bowel disease (IBD) and Salmonella?,relate
liver disease,Lactobacillus,"Consistently, the positive effect of Lactobacillus rhamnosus GG in alcohol-associated liver disease (ALD) was associated with its bacterial AHR ligand-enriched exosome-like nanoparticles (ELNPs), which increased expression of Reg3 and Nrf2 thereby improving barrier function (Gu et al., 2021b).",What is the relationship between liver disease and Lactobacillus?,positive
liver disease,Lactobacillus rhamnosus,"Consistently, the positive effect of Lactobacillus rhamnosus GG in alcohol-associated liver disease (ALD) was associated with its bacterial AHR ligand-enriched exosome-like nanoparticles (ELNPs), which increased expression of Reg3 and Nrf2 thereby improving barrier function (Gu et al., 2021b).",What is the relationship between liver disease and Lactobacillus rhamnosus?,positive
mastitis,Lactobacillus,"Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021).",What is the relationship between mastitis and Lactobacillus?,positive
mastitis,Escherichia coli,"Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021).",What is the relationship between mastitis and Escherichia coli?,negative
mastitis,Lactobacillus reuteri,"Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021).",What is the relationship between mastitis and Lactobacillus reuteri?,positive
mastitis,Escherichia,"Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021).",What is the relationship between mastitis and Escherichia?,positive
Inflammatory bowel disease (IBD),Bacteroides,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g.Bacteroides,Bifidobacterium,Faecalibacterium prausnitzii,Suterella,Clostridiumgroups IV and XIVa, andRoseburia)",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g.Bacteroides,Bifidobacterium,Faecalibacterium prausnitzii,Suterella,Clostridiumgroups IV and XIVa, andRoseburia)",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g.Bacteroides,Bifidobacterium,Faecalibacterium prausnitzii,Suterella,Clostridiumgroups IV and XIVa, andRoseburia)",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Sutterella,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g.Bacteroides,Bifidobacterium,Faecalibacterium prausnitzii,Suterella,Clostridiumgroups IV and XIVa, andRoseburia)",What is the relationship between Inflammatory bowel disease (IBD) and Sutterella?,negative
Inflammatory bowel disease (IBD),Clostridium groups IV and XIVa,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g.Bacteroides,Bifidobacterium,Faecalibacterium prausnitzii,Suterella,Clostridiumgroups IV and XIVa, andRoseburia)",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium groups IV and XIVa?,negative
Inflammatory bowel disease (IBD),Roseburia,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g.Bacteroides,Bifidobacterium,Faecalibacterium prausnitzii,Suterella,Clostridiumgroups IV and XIVa, andRoseburia)",What is the relationship between Inflammatory bowel disease (IBD) and Roseburia?,negative
Inflammatory bowel disease (IBD),Escherichia coli,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2020).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Escherichia coli?,positive
Inflammatory bowel disease (IBD),Fusobacterium,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2021).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Fusobacterium?,positive
Inflammatory bowel disease (IBD),Pasteurellaceae,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2022).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Pasteurellaceae?,positive
Inflammatory bowel disease (IBD),Ruminococcus,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2023).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Ruminococcus?,positive
Inflammatory bowel disease (IBD),Veillonellaceae,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2024).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Veillonellaceae?,positive
Inflammatory bowel disease (IBD),Helicobacter,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2025).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Helicobacter?,relate
Inflammatory bowel disease (IBD),Listeria,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2026).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Listeria?,relate
Inflammatory bowel disease (IBD),Klebsiella,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2027).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Klebsiella?,relate
Inflammatory bowel disease (IBD),Methanosphaera stadtmanae,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2028).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Methanosphaera stadtmanae?,relate
Inflammatory bowel disease (IBD),Salmonella,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2029).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Salmonella?,relate
Inflammatory bowel disease (IBD),Yersinia?,"together with increased bacteria with pro-inflammatory effects, such asEnterobacteriaceae(Escherichia coliandFusobacterium(Palmela et al., 2018;Mirsepasi-Lauridsen et al., 2019)),Pasteurellaceae,Ruminococcus, andVeillonellaceae(Pittayanon et al., 2030).Helicobacter,Listeria,Klebsiella,Methanosphaera stadtmanae,Salmonella, andYersiniawere also demonstrated related to the onset of IBD",What is the relationship between Inflammatory bowel disease (IBD) and Yersinia??,relate
Inflammatory bowel disease (IBD),Firmicutes,"Although the member and abundance of intestinal microbiota have wide individual differences by taxonomic criteria, there exist relative consistent microbial patterns in the gut of IBD, such as decreased microbial diversity and relative abundance of Firmicutes, and increased Proteobacteria (50 53).",What is the relationship between Inflammatory bowel disease (IBD) and Firmicutes?,negative
Inflammatory bowel disease (IBD),Proteobacteria,"Although the member and abundance of intestinal microbiota have wide individual differences by taxonomic criteria, there exist relative consistent microbial patterns in the gut of IBD, such as decreased microbial diversity and relative abundance of Firmicutes, and increased Proteobacteria (50 53).",What is the relationship between Inflammatory bowel disease (IBD) and Proteobacteria?,positive
ulcerative colitis (UC),Lactobacillus acidophilus,"In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84).",What is the relationship between ulcerative colitis (UC) and Lactobacillus acidophilus?,relate
ulcerative colitis (UC),Bifidobacterium,"In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,relate
ulcerative colitis (UC),Lactobacillus,"In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84).",What is the relationship between ulcerative colitis (UC) and Lactobacillus?,relate
ulcerative colitis (UC),Bacteroides,"In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84).",What is the relationship between ulcerative colitis (UC) and Bacteroides?,relate
ulcerative colitis (UC),Lactobacillus acidophilus,"BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare- ups of chronic UC by decreasing IL-1b and TNF-a levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain- enhancer of activated B cells (NF-kB) activation.",What is the relationship between ulcerative colitis (UC) and Lactobacillus acidophilus?,negative
ulcerative colitis (UC),Bifidobacterium longum,"BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare- ups of chronic UC by decreasing IL-1b and TNF-a levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain- enhancer of activated B cells (NF-kB) activation.",What is the relationship between ulcerative colitis (UC) and Bifidobacterium longum?,negative
ulcerative colitis (UC),Enterococcus faecalis,"BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare- ups of chronic UC by decreasing IL-1b and TNF-a levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain- enhancer of activated B cells (NF-kB) activation.",What is the relationship between ulcerative colitis (UC) and Enterococcus faecalis?,negative
ulcerative colitis (UC),Bifidobacterium,"BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare- ups of chronic UC by decreasing IL-1b and TNF-a levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain- enhancer of activated B cells (NF-kB) activation.",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,negative
ulcerative colitis (UC),Lactobacillus,"BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare- ups of chronic UC by decreasing IL-1b and TNF-a levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain- enhancer of activated B cells (NF-kB) activation.",What is the relationship between ulcerative colitis (UC) and Lactobacillus?,negative
ulcerative colitis (UC),Enterococcus,"BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare- ups of chronic UC by decreasing IL-1b and TNF-a levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain- enhancer of activated B cells (NF-kB) activation.",What is the relationship between ulcerative colitis (UC) and Enterococcus?,negative
ulcerative colitis (UC),Streptococcus faecalis,"showed that by making use of BIO-THREE (Streptococcus faecalis T-110, Clostridium butyricum TO-A, and Bacillus mesentericus TO-A) ameliorated endoscopic findings, clinical symptoms of UC patients, and increased fecal Bifidobacterium (89).",What is the relationship between ulcerative colitis (UC) and Streptococcus faecalis?,negative
ulcerative colitis (UC),Clostridium butyricum,"showed that by making use of BIO-THREE (Streptococcus faecalis T-110, Clostridium butyricum TO-A, and Bacillus mesentericus TO-A) ameliorated endoscopic findings, clinical symptoms of UC patients, and increased fecal Bifidobacterium (89).",What is the relationship between ulcerative colitis (UC) and Clostridium butyricum?,negative
ulcerative colitis (UC),Bifidobacterium,"showed that by making use of BIO-THREE (Streptococcus faecalis T-110, Clostridium butyricum TO-A, and Bacillus mesentericus TO-A) ameliorated endoscopic findings, clinical symptoms of UC patients, and increased fecal Bifidobacterium (89).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,negative
ulcerative colitis (UC),Streptococcus,"showed that by making use of BIO-THREE (Streptococcus faecalis T-110, Clostridium butyricum TO-A, and Bacillus mesentericus TO-A) ameliorated endoscopic findings, clinical symptoms of UC patients, and increased fecal Bifidobacterium (89).",What is the relationship between ulcerative colitis (UC) and Streptococcus?,negative
ulcerative colitis (UC),Clostridium,"showed that by making use of BIO-THREE (Streptococcus faecalis T-110, Clostridium butyricum TO-A, and Bacillus mesentericus TO-A) ameliorated endoscopic findings, clinical symptoms of UC patients, and increased fecal Bifidobacterium (89).",What is the relationship between ulcerative colitis (UC) and Clostridium?,negative
ulcerative colitis (UC),Bacillus,"showed that by making use of BIO-THREE (Streptococcus faecalis T-110, Clostridium butyricum TO-A, and Bacillus mesentericus TO-A) ameliorated endoscopic findings, clinical symptoms of UC patients, and increased fecal Bifidobacterium (89).",What is the relationship between ulcerative colitis (UC) and Bacillus?,negative
ulcerative colitis (UC),Escherichia coli,"In addition to these, many other studies also exhibited the effectiveness of the same or diverse probiotics oninducing remission or preventing recurrence of IBD patients.Moreover, application of Escherichia coli Nissle 1917 (EcN) by rectum was a well replacement treatment for moderate distal UC (98).",What is the relationship between ulcerative colitis (UC) and Escherichia coli?,negative
ulcerative colitis (UC),Escherichia,"In addition to these, many other studies also exhibited the effectiveness of the same or diverse probiotics oninducing remission or preventing recurrence of IBD patients.Moreover, application of Escherichia coli Nissle 1917 (EcN) by rectum was a well replacement treatment for moderate distal UC (98).",What is the relationship between ulcerative colitis (UC) and Escherichia?,negative
ulcerative colitis (UC),Bifidobacterium breve,"For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium breve?,NA
ulcerative colitis (UC),Bifidobacterium,"For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,NA
Inflammatory bowel disease (IBD),Escherichia coli,"In addition to these, many other studies also exhibited the effectiveness of the same or diverse probiotics oninducing remission or preventing recurrence of IBD patients (90–97).Moreover, application of Escherichia coli Nissle 1917 (EcN) by rectum was a well replacement treatment for moderate distal UC (98).",What is the relationship between Inflammatory bowel disease (IBD) and Escherichia coli?,negative
Inflammatory bowel disease (IBD),Escherichia,"In addition to these, many other studies also exhibited the effectiveness of the same or diverse probiotics oninducing remission or preventing recurrence of IBD patients (90–97).Moreover, application of Escherichia coli Nissle 1917 (EcN) by rectum was a well replacement treatment for moderate distal UC (98).",What is the relationship between Inflammatory bowel disease (IBD) and Escherichia?,negative
ulcerative colitis (UC),Escherichia coli,"In addition to these, many other studies also exhibited the effectiveness of the same or diverse probiotics oninducing remission or preventing recurrence of IBD patients (90–97).Moreover, application of Escherichia coli Nissle 1917 (EcN) by rectum was a well replacement treatment for moderate distal UC (98).",What is the relationship between ulcerative colitis (UC) and Escherichia coli?,negative
ulcerative colitis (UC),Bifidobacterium breve,"For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium breve?,NA
ulcerative colitis (UC),Bifidobacterium,"For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,NA
ulcerative colitis (UC),Lactobacillus acidophilus,"In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp.",What is the relationship between ulcerative colitis (UC) and Lactobacillus acidophilus?,relate
ulcerative colitis (UC),Bifidobacterium animalis,"In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp.",What is the relationship between ulcerative colitis (UC) and Bifidobacterium animalis?,relate
