DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
Inflammatory bowel disease (IBD),Clostridium coccoides,"A meta-analysis conducted by Prosberg et al. demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41]. Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium coccoides?,negative
Inflammatory bowel disease (IBD),Clostridium leptum,"A meta-analysis conducted by Prosberg et al. demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41]. Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium leptum?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"A meta-analysis conducted by Prosberg et al. demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41]. Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"A meta-analysis conducted by Prosberg et al. demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41]. Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"A meta-analysis conducted by Prosberg et al. demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41]. Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"A meta-analysis conducted by Prosberg et al. demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41]. Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Another intestinal commensal microbiome influencing T-cell homeostasis is Clostridium cluster XIVa and Bacteroides fragilis, which promoted the differentiation of Treg cells by inducing the expression of Forkhead box protein P3 (Foxp3), thus increasing the secretion of IL-10 and exerting anti-inflammatory effects [48,49]. The abundance of protective bacteria species such as Bifidobacterium and Lactobacilli was reported to decreased in IBD patients, and these protective bacteria could increase the frequency of mucosal Treg cells to ameliorate IBD symptoms [50]. Although Th17 cells contribute to the incidence and progression of IBD, the therapies aiming to block IL17 secreted by Th17 are not always satisfying. ",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacilli,"Another intestinal commensal microbiome influencing T-cell homeostasis is Clostridium cluster XIVa and Bacteroides fragilis, which promoted the differentiation of Treg cells by inducing the expression of Forkhead box protein P3 (Foxp3), thus increasing the secretion of IL-10 and exerting anti-inflammatory effects [48,49]. The abundance of protective bacteria species such as Bifidobacterium and Lactobacilli was reported to decreased in IBD patients, and these protective bacteria could increase the frequency of mucosal Treg cells to ameliorate IBD symptoms [50]. Although Th17 cells contribute to the incidence and progression of IBD, the therapies aiming to block IL17 secreted by Th17 are not always satisfying. ",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacilli?,negative
Inflammatory bowel disease (IBD),Peptostreptococcaceae,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence. One study showed that gut microbiota activated Th17, as well as DCs, to enhance mucosal barrier integrity and inhibit intestinal infection. In addition, an impaired intestinal mucosal barrier increases the sensitivity of intestinal epithelial cells to opportunistic pathogens. Once stimulated by the flagellin and lipoproteins of pathogens, Toll-like receptor 5 (TLR5) in DCs was activated to enhance the expressions of IL-22 and IL-23, which induced the occurrence and development of gut inflammation.",What is the relationship between Inflammatory bowel disease (IBD) and Peptostreptococcaceae?,positive
Inflammatory bowel disease (IBD),Enterobacteriaceae,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence. One study showed that gut microbiota activated Th17, as well as DCs, to enhance mucosal barrier integrity and inhibit intestinal infection. In addition, an impaired intestinal mucosal barrier increases the sensitivity of intestinal epithelial cells to opportunistic pathogens. Once stimulated by the flagellin and lipoproteins of pathogens, Toll-like receptor 5 (TLR5) in DCs was activated to enhance the expressions of IL-22 and IL-23, which induced the occurrence and development of gut inflammation.",What is the relationship between Inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
Inflammatory bowel disease (IBD),Lachnospiraceae,"Acetate is produced by many bacteria during food fermentation, while propionate and butyrate tend to be produced by specific bacteria. Firmicutes are the primary butyrate-producing bacteria, which include Lachnospiraceae and F. prausnitzii [62]. Evidence from 16S bacteria sequencing demonstrated that the abundances of Lachnospiraceae and F. prausnitzii were significantly reduced in the feces of IBD patients, resulting in decreased intestinal butyrate content and aggravated intestinal barrier damage in inflamed colons [66,67]. In addition, a relevant study showed that the abundance of Roseburia hominis, a butyrate-producing bacteria, was notably reduced in IBD patients, which was tightly related to the reduced content of SCFAs in the feces of patients [68].",What is the relationship between Inflammatory bowel disease (IBD) and Lachnospiraceae?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"Acetate is produced by many bacteria during food fermentation, while propionate and butyrate tend to be produced by specific bacteria. Firmicutes are the primary butyrate-producing bacteria, which include Lachnospiraceae and F. prausnitzii [62]. Evidence from 16S bacteria sequencing demonstrated that the abundances of Lachnospiraceae and F. prausnitzii were significantly reduced in the feces of IBD patients, resulting in decreased intestinal butyrate content and aggravated intestinal barrier damage in inflamed colons [66,67]. In addition, a relevant study showed that the abundance of Roseburia hominis, a butyrate-producing bacteria, was notably reduced in IBD patients, which was tightly related to the reduced content of SCFAs in the feces of patients [68].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Peptostreptococcus russellii,"As mentioned above, the gut microbiota is the primary source of endogenous AhR ligands. Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87]. Furthermore, Natividad et al. found that the administration of a Lactobacillus strain with high tryptophan-metabolizing capabilities could improve impaired microbiota-derived AhR ligand signaling in a host [88]. In general, gut microbiota dysbiosis induces tryptophan metabolite alteration to aggravate IBD progression, which is mainly based on reduced indole derivatives and AhR activity. ",What is the relationship between Inflammatory bowel disease (IBD) and Peptostreptococcus russellii?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"As mentioned above, the gut microbiota is the primary source of endogenous AhR ligands. Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87]. Furthermore, Natividad et al. found that the administration of a Lactobacillus strain with high tryptophan-metabolizing capabilities could improve impaired microbiota-derived AhR ligand signaling in a host [88]. In general, gut microbiota dysbiosis induces tryptophan metabolite alteration to aggravate IBD progression, which is mainly based on reduced indole derivatives and AhR activity. ",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacteria,"As mentioned above, the gut microbiota is the primary source of endogenous AhR ligands. Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87]. Furthermore, Natividad et al. found that the administration of a Lactobacillus strain with high tryptophan-metabolizing capabilities could improve impaired microbiota-derived AhR ligand signaling in a host [88]. In general, gut microbiota dysbiosis induces tryptophan metabolite alteration to aggravate IBD progression, which is mainly based on reduced indole derivatives and AhR activity. ",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacteria?,negative
Inflammatory bowel disease (IBD),Bacteroides,"The gut microbiota is widely involved in transforming BAs into unconjugated secondary Bas. Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients [50,89]. Subsequently, secondary BAs are formed from unconjugated BAs through the 7α-dehydroxylation of commensal bacteria, such as Bacteroides, Clostridium, Eubacterium, and Lactobacillus [81]. ",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides?,negative
Inflammatory bowel disease (IBD),Clostridium,"The gut microbiota is widely involved in transforming BAs into unconjugated secondary Bas. Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients [50,89]. Subsequently, secondary BAs are formed from unconjugated BAs through the 7α-dehydroxylation of commensal bacteria, such as Bacteroides, Clostridium, Eubacterium, and Lactobacillus [81]. ",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"The gut microbiota is widely involved in transforming BAs into unconjugated secondary Bas. Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients [50,89]. Subsequently, secondary BAs are formed from unconjugated BAs through the 7α-dehydroxylation of commensal bacteria, such as Bacteroides, Clostridium, Eubacterium, and Lactobacillus [81]. ",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"The gut microbiota is widely involved in transforming BAs into unconjugated secondary Bas. Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients [50,89]. Subsequently, secondary BAs are formed from unconjugated BAs through the 7α-dehydroxylation of commensal bacteria, such as Bacteroides, Clostridium, Eubacterium, and Lactobacillus [81]. ",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Listeria,"The gut microbiota is widely involved in transforming BAs into unconjugated secondary Bas. Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients [50,89]. Subsequently, secondary BAs are formed from unconjugated BAs through the 7α-dehydroxylation of commensal bacteria, such as Bacteroides, Clostridium, Eubacterium, and Lactobacillus [81]. ",What is the relationship between Inflammatory bowel disease (IBD) and Listeria?,negative
Inflammatory bowel disease (IBD),Cloacibacterium,"Furthermore, by comparing the results of flora sequencing in the inflammatory and non-inflammatory tissue of IBD patients with tissues in the corresponding sites of healthy human, Hirano et al. found that flora diversity was decreased both in the inflammatory and non-inflammatory colon tissues of IBD patients. In addition, the bacterial species of Cloacibacterium and Tissierellaceae were more enriched in inflammatory tissues compared with non-inflammatory sites in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Cloacibacterium?,positive
Inflammatory bowel disease (IBD),Tissierellaceae,"Furthermore, by comparing the results of flora sequencing in the inflammatory and non-inflammatory tissue of IBD patients with tissues in the corresponding sites of healthy human, Hirano et al. found that flora diversity was decreased both in the inflammatory and non-inflammatory colon tissues of IBD patients. In addition, the bacterial species of Cloacibacterium and Tissierellaceae were more enriched in inflammatory tissues compared with non-inflammatory sites in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Tissierellaceae?,positive
crohn's disease (CD),Faecalibacterium prausnitzii,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Faecalibacterium prausnitzii?,negative
crohn's disease (CD),Bifidobacterium longum,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Bifidobacterium longum?,negative
crohn's disease (CD),Roseburia intestinalis,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Roseburia intestinalis?,negative
crohn's disease (CD),Bacteroides fragilis,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals. Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC. Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased. Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. ",What is the relationship between crohn's disease (CD) and Bacteroides fragilis?,positive
crohn's disease (CD),Eubacterium rectale,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Eubacterium rectale?,negative
crohn's disease (CD),Faecalibacterium,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Faecalibacterium?,negative
crohn's disease (CD),Bifidobacterium,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Bifidobacterium?,negative
crohn's disease (CD),Eubacterium,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Eubacterium?,negative
crohn's disease (CD),Bacteroides,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Bacteroides?,negative
crohn's disease (CD),Roseburia,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between crohn's disease (CD) and Roseburia?,negative
ulcerative colitis (UC),Faecalibacterium prausnitzii,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between ulcerative colitis (UC) and Faecalibacterium prausnitzii?,negative
ulcerative colitis (UC),Bifidobacterium longum,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between ulcerative colitis (UC) and Bifidobacterium longum?,negative
ulcerative colitis (UC),Roseburia intestinalis,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between ulcerative colitis (UC) and Roseburia intestinalis?,negative
ulcerative colitis (UC),Bacteroides fragilis,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals. Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC. Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased. Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. ",What is the relationship between ulcerative colitis (UC) and Bacteroides fragilis?,positive
ulcerative colitis (UC),Eubacterium rectale,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between ulcerative colitis (UC) and Eubacterium rectale?,negative
ulcerative colitis (UC),Faecalibacterium,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between ulcerative colitis (UC) and Faecalibacterium?,negative
ulcerative colitis (UC),Bifidobacterium,"The fluctuation of gut microbiota composition in IBD patients is greater than that in healthy individuals (Halfvarson et al., 2017). Some studies have found that the degree of dysbiosis in CD patients is greater than that in individuals with UC (Cekin, 2017; Kriss et al., 2018; Yilmaz et al., 2018). Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018). Ruminococcus torques and Ruminococcus are also enriched in CD and UC at the onset of the disease. The transcriptional activity of a small number of strains increases as well, as shown by the significant differences in the abundance of Clostridium hathewayi, Clostridium bolteae, and Ruminococcus gnavus (Lloyd-Price et al., 2019). ",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,negative
